id,type,author,settings-instrumentType,settings-region,settings-universe,settings-delay,settings-decay,settings-neutralization,settings-truncation,settings-pasteurization,settings-unitHandling,settings-nanHandling,settings-maxTrade,settings-language,settings-visualization,settings-startDate,settings-endDate,regular-code,regular-description,regular-operatorCount,dateCreated,dateSubmitted,dateModified,name,favorite,hidden,color,category,tags-0,tags-1,tags-2,classifications-0-id,classifications-0-name,grade,stage,status,is-pnl,is-bookSize,is-longCount,is-shortCount,is-turnover,is-returns,is-drawdown,is-margin,is-sharpe,is-fitness,is-startDate,is-investabilityConstrained-pnl,is-investabilityConstrained-bookSize,is-investabilityConstrained-longCount,is-investabilityConstrained-shortCount,is-investabilityConstrained-turnover,is-investabilityConstrained-returns,is-investabilityConstrained-drawdown,is-investabilityConstrained-margin,is-investabilityConstrained-fitness,is-investabilityConstrained-sharpe,is-riskNeutralized-pnl,is-riskNeutralized-bookSize,is-riskNeutralized-longCount,is-riskNeutralized-shortCount,is-riskNeutralized-turnover,is-riskNeutralized-returns,is-riskNeutralized-drawdown,is-riskNeutralized-margin,is-riskNeutralized-fitness,is-riskNeutralized-sharpe,is-checks-0-name,is-checks-0-result,is-checks-0-limit,is-checks-0-value,is-checks-1-name,is-checks-1-result,is-checks-1-limit,is-checks-1-value,is-checks-2-name,is-checks-2-result,is-checks-2-limit,is-checks-2-value,is-checks-3-name,is-checks-3-result,is-checks-3-limit,is-checks-3-value,is-checks-4-name,is-checks-4-result,is-checks-4-date,is-checks-4-limit,is-checks-4-value,is-checks-5-name,is-checks-5-result,is-checks-5-limit,is-checks-5-value,is-checks-6-name,is-checks-6-result,is-checks-7-name,is-checks-7-result,is-checks-8-name,is-checks-8-result,is-checks-9-name,is-checks-9-result,is-checks-10-name,is-checks-10-result,is-checks-10-value,is-checks-10-limit,is-checks-11-name,is-checks-11-result,is-checks-11-competitions-0-id,is-checks-11-competitions-0-name,is-checks-12-result,is-checks-12-name,is-checks-12-effective,is-checks-12-multiplier,is-checks-12-pyramids-0-name,is-checks-12-pyramids-0-multiplier,is-checks-13-result,is-checks-13-name,is-checks-13-themes-0-id,is-checks-13-themes-0-multiplier,is-checks-13-themes-0-name,is-checks-13-themes-1-id,is-checks-13-themes-1-multiplier,is-checks-13-themes-1-name,is-checks-13-themes-2-id,is-checks-13-themes-2-multiplier,is-checks-13-themes-2-name,is-checks-13-themes-3-id,is-checks-13-themes-3-multiplier,is-checks-13-themes-3-name,is-checks-13-themes-4-id,is-checks-13-themes-4-multiplier,is-checks-13-themes-4-name,is-checks-13-themes-5-id,is-checks-13-themes-5-multiplier,is-checks-13-themes-5-name,os,train,test,prod,competitions,themes,pyramids,pyramidThemes,team,osmosisPoints
1Y63J6km,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,reverse(vec_stddev(anl48_bedhga)),,2,2026-01-29T11:28:07-05:00,,2026-01-29T11:28:08-05:00,,False,False,,,ace_tag,llm_test,confidence_0.53,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,1211543,20000000,1195,264,0.054,0.0121,0.2575,0.00045,0.09,0.03,2014-01-01,2186004.0,20000000.0,1031.0,449.0,0.0357,0.0219,0.1482,0.001228,0.15,0.36,-197967.0,20000000.0,1195.0,264.0,0.054,-0.002,0.2747,-7.3e-05,-0.0,-0.02,LOW_SHARPE,FAIL,1.58,0.09,LOW_FITNESS,FAIL,1.0,0.03,LOW_TURNOVER,PASS,0.01,0.054,HIGH_TURNOVER,PASS,0.7,0.054,CONCENTRATED_WEIGHT,FAIL,2014-11-14,0.1,0.498942,LOW_SUB_UNIVERSE_SHARPE,PASS,0.04,0.06,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-1.09,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.2,USA/D1/ANALYST,1.2,WARNING,MATCHES_THEMES,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,,,,,,,,,,
3qgmzgeO,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,vec_count(anl48_bulk_dvd_hist_ibs),,1,2026-01-29T11:28:14-05:00,,2026-01-29T11:28:15-05:00,,False,False,,,ace_tag,llm_test,confidence_0.5,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-134079,20000000,665,798,0.0698,-0.0013,0.1256,-3.8e-05,-0.04,-0.0,2014-01-01,-518102.0,20000000.0,744.0,780.0,0.056,-0.0052,0.127,-0.000185,-0.03,-0.14,-1033850.0,20000000.0,665.0,798.0,0.0698,-0.0104,0.1619,-0.000297,-0.11,-0.37,LOW_SHARPE,FAIL,1.58,-0.04,LOW_FITNESS,FAIL,1.0,-0.0,LOW_TURNOVER,PASS,0.01,0.0698,HIGH_TURNOVER,PASS,0.7,0.0698,CONCENTRATED_WEIGHT,PASS,,,,LOW_SUB_UNIVERSE_SHARPE,PASS,-0.02,0.11,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.81,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.2,USA/D1/ANALYST,1.2,WARNING,MATCHES_THEMES,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,,,,,,,,,,
gJ7NxqzM,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,vec_count(anl48_bulk_count_index_members),,1,2026-01-29T11:28:25-05:00,,2026-01-29T11:28:26-05:00,,False,False,,,ace_tag,llm_test,confidence_0.5,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-1682637,20000000,5,0,0.0692,-0.0199,0.2038,-0.000576,-0.41,-0.16,2014-01-01,4982757.0,20000000.0,324.0,103.0,0.1884,0.059,0.2914,0.000626,0.29,0.52,-1243025.0,20000000.0,5.0,0.0,0.0692,-0.0147,0.1771,-0.000426,-0.12,-0.34,LOW_SHARPE,FAIL,1.58,-0.41,LOW_FITNESS,FAIL,1.0,-0.16,LOW_TURNOVER,PASS,0.01,0.0692,HIGH_TURNOVER,PASS,0.7,0.0692,CONCENTRATED_WEIGHT,FAIL,2016-11-25,0.1,0.5,LOW_SUB_UNIVERSE_SHARPE,PASS,-0.18,0.16,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-1.19,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.2,USA/D1/ANALYST,1.2,WARNING,MATCHES_THEMES,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,,,,,,,,,,
3qgmzgeO,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,vec_count(anl48_bulk_dvd_hist_ibs),Use vec_count on bulk_dvd_hist_ibs to detect clustered past dividend events. SUG2: applied vec_count for vector bulk field. SUG3: coverage 0.5153 -> ts_backfill not needed for vec_count. Confidence 0.5.,1,2026-01-29T11:28:14-05:00,,2026-01-29T11:28:16-05:00,,False,False,,,ace_tag,llm_test,confidence_0.49,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-134079,20000000,665,798,0.0698,-0.0013,0.1256,-3.8e-05,-0.04,-0.0,2014-01-01,-518102.0,20000000.0,744.0,780.0,0.056,-0.0052,0.127,-0.000185,-0.03,-0.14,-1033850.0,20000000.0,665.0,798.0,0.0698,-0.0104,0.1619,-0.000297,-0.11,-0.37,LOW_SHARPE,FAIL,1.58,-0.04,LOW_FITNESS,FAIL,1.0,-0.0,LOW_TURNOVER,PASS,0.01,0.0698,HIGH_TURNOVER,PASS,0.7,0.0698,CONCENTRATED_WEIGHT,PASS,,,,LOW_SUB_UNIVERSE_SHARPE,PASS,-0.02,0.11,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.81,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.2,USA/D1/ANALYST,1.2,WARNING,MATCHES_THEMES,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,,,,,,,,,,
qMe2gkbK,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,vec_sum(anl48_bulk_eqy_dvd_hist_gross_ibs),,1,2026-01-29T11:28:26-05:00,,2026-01-29T11:28:26-05:00,,False,False,,,ace_tag,llm_test,confidence_0.5,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-843630,20000000,357,1151,0.027,-0.0085,0.3152,-0.000627,-0.1,-0.03,2014-01-01,-1707431.0,20000000.0,401.0,1123.0,0.0238,-0.0171,0.3641,-0.001439,-0.07,-0.2,591281.0,20000000.0,357.0,1151.0,0.027,0.0059,0.1586,0.00044,0.03,0.12,LOW_SHARPE,FAIL,1.58,-0.1,LOW_FITNESS,FAIL,1.0,-0.03,LOW_TURNOVER,PASS,0.01,0.027,HIGH_TURNOVER,PASS,0.7,0.027,CONCENTRATED_WEIGHT,PASS,,,,LOW_SUB_UNIVERSE_SHARPE,FAIL,-0.04,-0.25,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.91,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.2,USA/D1/ANALYST,1.2,WARNING,MATCHES_THEMES,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,,,,,,,,,,
E5onk0JP,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,reverse(vec_range(anl48_bedhga)),,2,2026-01-29T11:28:25-05:00,,2026-01-29T11:28:26-05:00,,False,False,,,ace_tag,llm_test,confidence_0.51,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,1082626,20000000,1242,265,0.0253,0.0108,0.2593,0.000859,0.08,0.02,2014-01-01,1890993.0,20000000.0,1063.0,454.0,0.0212,0.0189,0.154,0.001784,0.12,0.32,-115536.0,20000000.0,1242.0,265.0,0.0253,-0.0012,0.2672,-9.2e-05,-0.0,-0.01,LOW_SHARPE,FAIL,1.58,0.08,LOW_FITNESS,FAIL,1.0,0.02,LOW_TURNOVER,PASS,0.01,0.0253,HIGH_TURNOVER,PASS,0.7,0.0253,CONCENTRATED_WEIGHT,FAIL,2018-12-20,0.1,0.499004,LOW_SUB_UNIVERSE_SHARPE,PASS,0.03,0.08,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-1.29,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.2,USA/D1/ANALYST,1.2,WARNING,MATCHES_THEMES,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,,,,,,,,,,
xAX7RXVW,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,vec_count(anl48_equity_bulk_dvd_hist_ibc),,1,2026-01-29T11:28:18-05:00,,2026-01-29T11:28:19-05:00,,False,False,,,ace_tag,llm_test,confidence_0.5,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-134079,20000000,665,798,0.0698,-0.0013,0.1256,-3.8e-05,-0.04,-0.0,2014-01-01,-518102.0,20000000.0,744.0,780.0,0.056,-0.0052,0.127,-0.000185,-0.03,-0.14,-1033850.0,20000000.0,665.0,798.0,0.0698,-0.0104,0.1619,-0.000297,-0.11,-0.37,LOW_SHARPE,FAIL,1.58,-0.04,LOW_FITNESS,FAIL,1.0,-0.0,LOW_TURNOVER,PASS,0.01,0.0698,HIGH_TURNOVER,PASS,0.7,0.0698,CONCENTRATED_WEIGHT,PASS,,,,LOW_SUB_UNIVERSE_SHARPE,PASS,-0.02,0.11,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.81,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.2,USA/D1/ANALYST,1.2,WARNING,MATCHES_THEMES,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,,,,,,,,,,
QPmRQZrG,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,reverse(vec_stddev(anl48_bulk_dvd_hist_ibs)),Use vec_stddev on bulk_dvd_hist_ibs to find decreasing variance; lower variance indicates stability. SUGGESTION2 applied. Confidence: 0.57.,2,2026-01-29T11:38:38-05:00,,2026-01-29T11:38:40-05:00,,False,False,,,ace_tag,llm_test,confidence_0.62,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,2014-01-01,,,,,,,,,,,,,,,,,,,,,LOW_SHARPE,FAIL,1.58,0.0,LOW_FITNESS,ERROR,1.0,,LOW_TURNOVER,FAIL,0.01,0.0,HIGH_TURNOVER,PASS,0.7,0.0,CONCENTRATED_WEIGHT,FAIL,,,,LOW_SUB_UNIVERSE_SHARPE,ERROR,,,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,IS_LADDER_SHARPE,PENDING,,,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.2,USA/D1/ANALYST,1.2,WARNING,MATCHES_THEMES,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,,,,,,,,,,
d5eJQk6K,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"ts_zscore(vec_avg(anl48_bulk_dvd_hist_ibs),20)",,2,2026-01-29T11:38:49-05:00,,2026-01-29T11:38:49-05:00,,False,False,,,ace_tag,llm_test,confidence_0.61,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,2014-01-01,,,,,,,,,,,,,,,,,,,,,LOW_SHARPE,FAIL,1.58,0.0,LOW_FITNESS,ERROR,1.0,,LOW_TURNOVER,FAIL,0.01,0.0,HIGH_TURNOVER,PASS,0.7,0.0,CONCENTRATED_WEIGHT,FAIL,,,,LOW_SUB_UNIVERSE_SHARPE,ERROR,,,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,IS_LADDER_SHARPE,PENDING,,,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.2,USA/D1/ANALYST,1.2,WARNING,MATCHES_THEMES,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,,,,,,,,,,
N1kEOxgp,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,vec_max(anl48_equity_bulk_eqy_dvd_hist_gross_ibc),,1,2026-01-29T11:38:39-05:00,,2026-01-29T11:38:40-05:00,,False,False,,,ace_tag,llm_test,confidence_0.6,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,606927,20000000,357,1160,0.0058,0.0061,0.116,0.002111,0.18,0.04,2014-01-01,648960.0,20000000.0,395.0,1129.0,0.0058,0.0065,0.1182,0.002254,0.04,0.19,-63071.0,20000000.0,357.0,1160.0,0.0058,-0.0006,0.0783,-0.000219,-0.0,-0.03,LOW_SHARPE,FAIL,1.58,0.18,LOW_FITNESS,FAIL,1.0,0.04,LOW_TURNOVER,FAIL,0.01,0.0058,HIGH_TURNOVER,PASS,0.7,0.0058,CONCENTRATED_WEIGHT,PASS,,,,LOW_SUB_UNIVERSE_SHARPE,FAIL,0.08,-0.0,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.09,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.2,USA/D1/ANALYST,1.2,WARNING,MATCHES_THEMES,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,,,,,,,,,,
