id,type,author,settings-instrumentType,settings-region,settings-universe,settings-delay,settings-decay,settings-neutralization,settings-truncation,settings-pasteurization,settings-unitHandling,settings-nanHandling,settings-maxTrade,settings-language,settings-visualization,settings-startDate,settings-endDate,regular-code,regular-description,regular-operatorCount,dateCreated,dateSubmitted,dateModified,name,favorite,hidden,color,category,tags-0,tags-1,tags-2,classifications-0-id,classifications-0-name,grade,stage,status,is-pnl,is-bookSize,is-longCount,is-shortCount,is-turnover,is-returns,is-drawdown,is-margin,is-sharpe,is-fitness,is-startDate,is-investabilityConstrained-pnl,is-investabilityConstrained-bookSize,is-investabilityConstrained-longCount,is-investabilityConstrained-shortCount,is-investabilityConstrained-turnover,is-investabilityConstrained-returns,is-investabilityConstrained-drawdown,is-investabilityConstrained-margin,is-investabilityConstrained-fitness,is-investabilityConstrained-sharpe,is-riskNeutralized-pnl,is-riskNeutralized-bookSize,is-riskNeutralized-longCount,is-riskNeutralized-shortCount,is-riskNeutralized-turnover,is-riskNeutralized-returns,is-riskNeutralized-drawdown,is-riskNeutralized-margin,is-riskNeutralized-fitness,is-riskNeutralized-sharpe,is-checks-0-name,is-checks-0-result,is-checks-0-limit,is-checks-0-value,is-checks-1-name,is-checks-1-result,is-checks-1-limit,is-checks-1-value,is-checks-2-name,is-checks-2-result,is-checks-2-limit,is-checks-2-value,is-checks-3-name,is-checks-3-result,is-checks-3-limit,is-checks-3-value,is-checks-4-name,is-checks-4-result,is-checks-5-name,is-checks-5-result,is-checks-5-limit,is-checks-5-value,is-checks-6-name,is-checks-6-result,is-checks-7-name,is-checks-7-result,is-checks-8-name,is-checks-8-result,is-checks-9-name,is-checks-9-result,is-checks-10-name,is-checks-10-result,is-checks-10-value,is-checks-10-limit,is-checks-11-name,is-checks-11-result,is-checks-11-competitions-0-id,is-checks-11-competitions-0-name,is-checks-12-result,is-checks-12-name,is-checks-12-effective,is-checks-12-multiplier,is-checks-12-pyramids-0-name,is-checks-12-pyramids-0-multiplier,is-checks-13-result,is-checks-13-name,is-checks-13-themes-0-id,is-checks-13-themes-0-multiplier,is-checks-13-themes-0-name,is-checks-13-themes-1-id,is-checks-13-themes-1-multiplier,is-checks-13-themes-1-name,is-checks-13-themes-2-id,is-checks-13-themes-2-multiplier,is-checks-13-themes-2-name,is-checks-13-themes-3-id,is-checks-13-themes-3-multiplier,is-checks-13-themes-3-name,is-checks-13-themes-4-id,is-checks-13-themes-4-multiplier,is-checks-13-themes-4-name,is-checks-13-themes-5-id,is-checks-13-themes-5-multiplier,is-checks-13-themes-5-name,os,train,test,prod,competitions,themes,pyramids,pyramidThemes,team,osmosisPoints
qMe2kMk1,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,zscore(news_volatility_projection_score),,1,2026-01-29T09:56:38-05:00,,2026-01-29T09:56:39-05:00,,False,False,,,ace_tag,llm_test,confidence_0.55,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,384457,20000000,1207,1359,1.4022,0.0039,0.117,5e-06,0.14,0.01,2014-01-01,918361,20000000,1504,1297,0.8335,0.0092,0.067,2.2e-05,0.03,0.27,297184,20000000,1207,1359,1.4022,0.003,0.1438,4e-06,0.01,0.13,LOW_SHARPE,FAIL,1.58,0.14,LOW_FITNESS,FAIL,1.0,0.01,LOW_TURNOVER,PASS,0.01,1.4022,HIGH_TURNOVER,FAIL,0.7,1.4022,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,FAIL,0.06,-0.02,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.53,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.2,USA/D1/NEWS,1.2,WARNING,MATCHES_THEMES,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,,,,,,,,,,
e7eM87mM,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"ts_zscore(ts_delta(earnings_release_sentiment_score,1),10)",,2,2026-01-29T09:56:35-05:00,,2026-01-29T09:56:35-05:00,,False,False,,,ace_tag,llm_test,confidence_0.6,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-443599,20000000,1110,1101,1.7124,-0.0044,0.1046,-5e-06,-0.2,-0.01,2014-01-01,219318,20000000,1065,1268,1.4046,0.0022,0.0568,3e-06,0.0,0.09,-505713,20000000,1110,1101,1.7124,-0.0051,0.1402,-6e-06,-0.01,-0.26,LOW_SHARPE,FAIL,1.58,-0.2,LOW_FITNESS,FAIL,1.0,-0.01,LOW_TURNOVER,PASS,0.01,1.7124,HIGH_TURNOVER,FAIL,0.7,1.7124,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,PASS,-0.09,0.22,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.18,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.2,USA/D1/NEWS,1.2,WARNING,MATCHES_THEMES,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,,,,,,,,,,
YPX3wjxJ,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"ts_zscore(ts_delta(positive_event_ratio_score,1),5)",,2,2026-01-29T09:56:28-05:00,,2026-01-29T09:56:28-05:00,,False,False,,,ace_tag,llm_test,confidence_0.6,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,1525960,20000000,1079,1077,1.5201,0.0153,0.0458,2e-05,0.78,0.08,2014-01-01,638403,20000000,1112,1157,1.1999,0.0064,0.056,1.1e-05,0.02,0.28,1290001,20000000,1079,1077,1.5201,0.0129,0.0438,1.7e-05,0.07,0.71,LOW_SHARPE,FAIL,1.58,0.78,LOW_FITNESS,FAIL,1.0,0.08,LOW_TURNOVER,PASS,0.01,1.5201,HIGH_TURNOVER,FAIL,0.7,1.5201,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,FAIL,0.34,0.07,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.81,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.2,USA/D1/NEWS,1.2,WARNING,MATCHES_THEMES,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,,,,,,,,,,
N1kEW197,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"subtract(earnings_release_sentiment_score, ts_mean(earnings_release_sentiment_score,7))",,2,2026-01-29T09:56:36-05:00,,2026-01-29T09:56:37-05:00,,False,False,,,ace_tag,llm_test,confidence_0.58,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-112596,20000000,1139,1427,1.3999,-0.0011,0.1269,-2e-06,-0.04,-0.0,2014-01-01,-242479,20000000,1457,1302,1.0094,-0.0024,0.1076,-5e-06,-0.0,-0.09,-377508,20000000,1139,1427,1.3999,-0.0038,0.1374,-5e-06,-0.01,-0.17,LOW_SHARPE,FAIL,1.58,-0.04,LOW_FITNESS,FAIL,1.0,-0.0,LOW_TURNOVER,PASS,0.01,1.3999,HIGH_TURNOVER,FAIL,0.7,1.3999,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,PASS,-0.02,0.45,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.18,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.2,USA/D1/NEWS,1.2,WARNING,MATCHES_THEMES,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,,,,,,,,,,
WjKrwj6Q,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"ts_mean(positive_event_ratio_score,91)",,1,2026-01-29T09:56:36-05:00,,2026-01-29T09:56:36-05:00,,False,False,,,ace_tag,llm_test,confidence_0.61,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,2091342,20000000,1661,1379,0.0248,0.021,0.1297,0.001691,0.36,0.15,2014-01-01,2103997,20000000,1657,1386,0.0235,0.0211,0.1371,0.001793,0.15,0.36,-61750,20000000,1661,1379,0.0248,-0.0006,0.0987,-5e-05,-0.0,-0.03,LOW_SHARPE,FAIL,1.58,0.36,LOW_FITNESS,FAIL,1.0,0.15,LOW_TURNOVER,PASS,0.01,0.0248,HIGH_TURNOVER,PASS,0.7,0.0248,CONCENTRATED_WEIGHT,PASS,LOW_SUB_UNIVERSE_SHARPE,PASS,0.16,0.4,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-0.52,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.2,USA/D1/NEWS,1.2,WARNING,MATCHES_THEMES,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,,,,,,,,,,
LLOobpk1,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"ts_zscore(news_volatility_projection_score,5)",,1,2026-01-29T10:02:05-05:00,,2026-01-29T10:02:05-05:00,,False,False,,,ace_tag,llm_test,confidence_0.68,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-546764,20000000,1238,1295,1.4141,-0.0055,0.1729,-8e-06,-0.28,-0.02,2014-01-01,-375251,20000000,1392,1303,1.118,-0.0038,0.1306,-7e-06,-0.01,-0.17,-269294,20000000,1238,1295,1.4141,-0.0027,0.1496,-4e-06,-0.01,-0.15,LOW_SHARPE,FAIL,1.58,-0.28,LOW_FITNESS,FAIL,1.0,-0.02,LOW_TURNOVER,PASS,0.01,1.4141,HIGH_TURNOVER,FAIL,0.7,1.4141,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,FAIL,-0.12,-0.3,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.84,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.2,USA/D1/NEWS,1.2,WARNING,MATCHES_THEMES,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,,,,,,,,,,
omQjwKAk,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"ts_delta(positive_event_ratio_score,7)",,1,2026-01-29T10:02:02-05:00,,2026-01-29T10:02:03-05:00,,False,False,,,ace_tag,llm_test,confidence_0.62,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-143415,20000000,1142,1127,1.05,-0.0014,0.1261,-3e-06,-0.04,-0.0,2014-01-01,-833383,20000000,1265,1244,0.6112,-0.0084,0.1826,-2.7e-05,-0.03,-0.27,448092,20000000,1142,1127,1.05,0.0045,0.0959,9e-06,0.01,0.16,LOW_SHARPE,FAIL,1.58,-0.04,LOW_FITNESS,FAIL,1.0,-0.0,LOW_TURNOVER,PASS,0.01,1.05,HIGH_TURNOVER,FAIL,0.7,1.05,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,FAIL,-0.02,-0.47,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.57,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.2,USA/D1/NEWS,1.2,WARNING,MATCHES_THEMES,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,,,,,,,,,,
omQjwKAk,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"ts_delta(positive_event_ratio_score,7)",Track trend in positive_event_ratio_score to favor improving entities: SUGGESTION1 applied (ts_delta of positive_event_ratio_score). SUGGESTION2: none. SUGGESTION3: coverage 1.0. SUGGESTION4: lower userCount but intuitive. Confidence: 0.62,1,2026-01-29T10:02:02-05:00,,2026-01-29T10:02:08-05:00,,False,False,,,ace_tag,llm_test,confidence_0.63,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-143415,20000000,1142,1127,1.05,-0.0014,0.1261,-3e-06,-0.04,-0.0,2014-01-01,-833383,20000000,1265,1244,0.6112,-0.0084,0.1826,-2.7e-05,-0.03,-0.27,448092,20000000,1142,1127,1.05,0.0045,0.0959,9e-06,0.01,0.16,LOW_SHARPE,FAIL,1.58,-0.04,LOW_FITNESS,FAIL,1.0,-0.0,LOW_TURNOVER,PASS,0.01,1.05,HIGH_TURNOVER,FAIL,0.7,1.05,CONCENTRATED_WEIGHT,FAIL,LOW_SUB_UNIVERSE_SHARPE,FAIL,-0.02,-0.47,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.57,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.2,USA/D1/NEWS,1.2,WARNING,MATCHES_THEMES,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,,,,,,,,,,
A1qXJw1w,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"subtract(ts_mean(positive_event_ratio_score,7), ts_mean(positive_event_ratio_score,91))",,3,2026-01-29T10:01:58-05:00,,2026-01-29T10:01:58-05:00,,False,False,,,ace_tag,llm_test,confidence_0.65,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-997840,20000000,1556,1455,0.1095,-0.01,0.112,-0.000183,-0.36,-0.1,2014-01-01,-1088141,20000000,1557,1472,0.085,-0.0109,0.1284,-0.000257,-0.12,-0.4,-831539,20000000,1556,1455,0.1095,-0.0083,0.1003,-0.000152,-0.11,-0.42,LOW_SHARPE,FAIL,1.58,-0.36,LOW_FITNESS,FAIL,1.0,-0.1,LOW_TURNOVER,PASS,0.01,0.1095,HIGH_TURNOVER,PASS,0.7,0.1095,CONCENTRATED_WEIGHT,PASS,LOW_SUB_UNIVERSE_SHARPE,FAIL,-0.16,-0.21,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,-0.46,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.2,USA/D1/NEWS,1.2,WARNING,MATCHES_THEMES,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,,,,,,,,,,
bl702Lvp,REGULAR,PS40111,EQUITY,USA,TOP3000,1,0,INDUSTRY,0.08,ON,VERIFY,OFF,OFF,FASTEXPR,False,2014-01-01,2023-12-31,"ts_mean(subtract(100, positive_event_ratio_score),91)",,2,2026-01-29T10:02:05-05:00,,2026-01-29T10:02:05-05:00,,False,False,,,ace_tag,llm_test,confidence_0.62,DATA_USAGE:SINGLE_DATA_SET,Single Data Set Alpha,,IS,UNSUBMITTED,-2091342,20000000,1379,1661,0.0248,-0.021,0.3266,-0.001691,-0.36,-0.15,2014-01-01,-2103997,20000000,1386,1657,0.0235,-0.0211,0.3182,-0.001793,-0.15,-0.36,61750,20000000,1379,1661,0.0248,0.0006,0.104,5e-05,0.0,0.03,LOW_SHARPE,FAIL,1.58,-0.36,LOW_FITNESS,FAIL,1.0,-0.15,LOW_TURNOVER,PASS,0.01,0.0248,HIGH_TURNOVER,PASS,0.7,0.0248,CONCENTRATED_WEIGHT,PASS,LOW_SUB_UNIVERSE_SHARPE,FAIL,-0.16,-0.4,SELF_CORRELATION,PENDING,DATA_DIVERSITY,PENDING,PROD_CORRELATION,PENDING,REGULAR_SUBMISSION,PENDING,LOW_2Y_SHARPE,FAIL,0.52,1.58,MATCHES_COMPETITION,PENDING,AIACv2,AI Alphas Competition 2.0,PASS,MATCHES_PYRAMID,1,1.2,USA/D1/NEWS,1.2,WARNING,MATCHES_THEMES,AyomAkD,1.0,Power Pool GLB Dataset Utilization Theme,EDrKL34,2.0,JPN Dataset Utilization Theme,M4ZYx3D,2.0,AMR Dataset Utilization Theme,9B3qxZ4,2.0,KOR Dataset Utilization Theme,PBVkEJD,2.0,TWN Dataset Utilization Theme,by88rqy,2.0,HKG Dataset Utilization Theme,,,,,,,,,,
